batch:10  lambda:100.0
epoch,dis_loss,gan_mae,gan_entropy,vgan_mae,vgan_entropy
113,0.00647916,5.55347,5.93076,7.72413,7.39868
114,0.00697808,5.95544,5.9466,6.19788,6.14395
115,0.00901862,5.03376,5.57868,5.31061,6.40762
116,0.00469653,6.50278,5.03154,6.29779,5.91699
117,0.00403484,4.83681,5.44257,5.90157,6.02088
118,0.00598011,6.45435,5.853,5.3971,5.81766
119,0.00560225,5.41022,5.2085,5.83227,5.68686
120,0.00441873,5.19682,5.28307,5.5584,5.67612
121,0.00392683,5.72729,5.63656,5.67921,5.82903
122,0.00350641,4.97128,4.89219,5.35617,5.43577
123,0.00420851,5.38962,4.80111,5.92812,5.80786
124,0.00458882,5.6768,4.39913,5.22749,5.09644
125,0.00266353,4.94648,5.26594,4.9612,6.02077
126,0.00425078,4.84843,5.18364,5.48373,5.41542
127,0.0031652,5.35084,5.16916,5.90243,5.2134
128,0.00350877,4.73056,5.14719,6.0358,5.43963
129,0.0246877,5.55928,6.05563,5.15379,4.85683
130,0.0107318,5.59327,5.15862,5.60117,5.33042
131,0.00705218,5.39219,5.39779,5.26437,5.1632
132,0.00665637,5.67772,5.32891,4.97853,5.73827
133,0.00709291,5.17962,5.19913,5.5251,5.09743
134,0.00394094,5.54464,5.0813,5.63262,5.28316
135,0.00421137,5.08554,5.27595,5.75728,5.54285
136,0.00390388,5.24101,4.77975,6.73113,5.22704
137,0.00735548,5.34694,5.43461,4.82681,4.93502
138,0.00474994,4.8313,5.5641,5.27879,4.87143
139,0.00377931,5.08477,5.08258,5.31843,5.1204
140,0.00521392,5.3297,5.02351,4.94429,4.92839
141,0.0053415,5.26648,5.34237,5.83769,5.70208
142,0.00332789,4.84138,5.39959,6.03021,5.46936
143,0.00286975,4.57867,5.07155,5.29806,5.64624
144,0.00352938,4.71729,4.73211,5.579,5.11303
145,0.00397818,4.6735,5.86203,5.06124,5.21571
146,0.00649425,4.79694,5.27405,4.87034,5.2994
147,0.0169658,5.07342,5.60362,6.57239,4.73224
148,0.478265,5.28302,5.32581,6.40066,6.10064
149,0.373899,6.25092,5.75899,5.7948,5.89698
150,0.0671492,5.19461,5.51892,5.84422,4.97201
151,0.0398218,5.53141,4.83326,4.93168,5.04303
152,0.0345897,6.23952,5.58622,4.73968,5.03937
153,0.0263511,5.18733,4.83227,5.56478,5.32713
154,0.0211358,4.40421,5.27334,5.25871,5.55795
155,0.0184177,5.99579,5.50568,5.03699,4.78326
