batch:10  lambda:100.0
epoch,dis_loss,gan_mae,gan_entropy,vgan_mae,vgan_entropy
0,1.16278,27.7857,20.075,59.5928,46.268
1,0.523584,10.1653,11.0003,20.3589,22.746
2,0.337164,11.0224,10.99,30.3251,45.422
3,0.437604,10.8179,11.0864,17.698,26.616
4,0.615651,10.2617,10.7225,13.7175,13.9844
5,1.23236,10.3945,10.6674,12.1982,12.0044
6,1.23097,9.72252,10.2725,11.7316,11.4004
7,0.909678,11.8681,9.99807,12.4892,13.583
8,1.02988,9.64909,10.723,14.1922,14.395
9,0.930878,12.3867,10.8816,13.6057,14.6051
10,0.598947,12.3018,11.4639,12.2377,12.3523
11,0.962365,11.6605,10.9937,12.4317,12.3644
12,0.62941,10.0545,10.6739,13.0804,14.0082
13,0.51338,10.1242,10.7147,11.0243,12.071
14,0.981845,10.4388,10.6422,13.2048,12.3801
15,1.05277,11.4933,9.82956,13.5337,13.8084
16,0.94151,10.614,10.2165,11.63,13.0359
17,1.09738,9.56031,11.659,13.4718,13.5593
18,1.19231,10.2078,10.7226,12.3095,12.1588
19,1.14714,9.21398,9.35078,12.1724,11.8946
20,0.883423,9.20749,10.2327,11.141,13.7741
21,1.05006,8.97224,8.80047,11.981,12.6617
22,0.972028,10.2474,9.57478,12.5999,13.8295
23,0.798767,8.95241,11.1378,13.0,10.815
24,0.782995,9.63478,10.1828,12.8678,12.2754
25,0.882392,11.1939,9.16039,11.6254,12.4239
26,0.615789,9.14146,8.48545,12.0368,11.4616
27,0.639682,8.86292,9.76805,12.164,12.2598
28,0.622968,9.66744,9.20785,11.9529,12.6727
29,0.924228,8.80285,9.92357,14.656,12.5839
30,0.604561,8.13699,9.43753,12.8917,12.6722
31,0.557903,10.6823,10.0642,11.5359,11.3677
32,0.737583,10.062,10.7109,11.4778,12.4403
33,0.530677,10.1695,9.10135,12.5981,13.6594
34,0.572823,10.8532,11.0711,11.8703,13.4981
35,0.625611,10.1697,9.65955,12.3285,14.9568
36,0.344352,9.5873,9.61111,13.8634,13.9921
37,0.562075,9.82702,11.2051,14.0,14.0204
38,0.496558,10.4549,10.077,14.9469,15.031
39,0.600999,10.049,10.0135,13.7121,11.1488
