batch:10  lambda:100.0
epoch,dis_loss,gan_mae,gan_entropy,vgan_mae,vgan_entropy
0,0.400737,27.8746,16.3026,164.084,612.402
1,0.115956,10.8408,12.6845,160.616,216.645
2,0.0614673,11.6749,10.4729,60.5842,50.5463
3,0.0427103,11.9619,11.0475,20.6945,23.8485
4,0.0406381,10.129,11.2783,21.1836,23.3827
5,0.034312,11.5724,11.0656,15.6472,21.8265
6,0.0285323,10.7088,10.4501,16.2822,18.2648
7,0.0396782,9.44206,10.7501,26.0443,21.4983
8,0.0324605,12.3089,10.6557,14.7389,17.1017
9,0.0370286,10.0307,9.63448,14.9906,13.9308
10,0.0311298,9.98369,12.097,12.5906,13.5208
11,0.0267895,9.66936,9.34606,11.7477,11.4897
12,0.0326541,10.152,9.44987,12.1436,13.2316
13,0.0316014,10.2172,10.6107,13.1332,13.5274
14,0.00816032,9.53705,9.3158,12.2041,14.218
15,0.0128362,10.0046,10.2003,13.6483,14.0304
16,0.0126895,9.28384,8.64678,12.3758,13.601
17,0.00986004,7.97724,10.0846,12.7373,11.8559
18,0.0104271,9.95179,11.8258,11.828,11.6165
19,0.0121885,10.0485,9.37895,11.131,13.1873
20,0.0151392,8.537,9.52178,11.8596,12.8972
21,0.00510843,8.56283,10.0628,12.9474,12.6239
22,0.00526304,9.7776,8.6227,12.6144,13.2972
23,0.00376936,9.14798,8.21207,11.5307,11.7406
24,0.0102518,9.10345,9.94639,12.9688,15.7968
25,0.0053303,8.66126,10.8268,14.6131,12.7874
26,0.00701284,9.46395,8.83162,12.14,11.9698
27,0.00655658,8.47101,9.75953,15.0261,15.4103
28,0.00973473,9.49557,8.78711,12.5312,11.1627
29,0.00289148,8.11668,8.90435,12.3475,12.0003
30,0.00524473,8.81514,9.21348,15.2876,14.4786
31,0.00468385,8.60452,9.32838,13.7339,11.8944
32,0.00490157,7.61181,9.59632,13.6875,15.2471
33,0.00893775,9.18325,9.39881,16.3085,14.7344
34,0.00846193,7.98848,8.26453,14.6126,15.4221
35,0.00674182,8.94614,8.14313,13.0636,12.9955
36,0.00733711,7.91378,7.59076,10.4594,12.2128
37,0.00797666,8.8406,9.3963,11.778,11.842
38,0.0041241,8.01802,7.57001,11.4898,11.4234
39,0.016714,7.30822,7.49725,20.6889,20.0494
40,0.0194758,8.78103,8.73113,14.5786,14.9986
41,0.00797711,9.12107,7.47683,13.2254,11.8751
42,0.00982731,7.88185,8.29517,12.9643,12.8446
43,0.006746,8.04469,6.89084,13.1996,11.4791
44,0.00384952,7.45869,7.06586,11.6688,11.7629
45,0.00334579,7.30689,7.9393,13.8648,11.886
46,0.00598755,6.09926,6.9119,17.1775,17.2783
47,0.00319892,7.28319,7.07056,15.6059,17.1793
48,0.00318267,7.82744,7.59459,17.5128,15.8981
49,0.00436383,7.05176,7.20906,16.1678,15.9306
50,0.00727942,8.20471,7.13385,18.972,17.6025
51,0.0062987,8.10929,7.34064,10.9744,11.1256
52,0.00623132,7.62572,8.43622,12.8404,13.0715
53,0.0074091,6.99054,6.99653,11.3708,11.268
54,0.0549432,7.49058,7.8732,13.85,14.6787
55,0.0709375,7.61373,6.9797,10.5025,11.3134
56,0.0214788,7.03671,7.976,11.3614,10.9931
57,0.0171323,7.17098,6.76654,14.0213,14.5734
58,0.0172809,7.40923,8.03104,10.7882,11.2372
59,0.0120666,7.40749,7.41917,12.207,12.0416
60,0.0116053,7.34163,6.69011,13.3475,13.5682
61,0.0107382,7.56839,6.52017,11.5458,11.8113
62,0.0114315,7.31413,6.56133,18.395,16.4391
63,0.00928611,7.39627,6.31354,17.2048,16.8634
64,0.015584,5.96256,6.1577,11.3628,9.63785
65,0.0139751,6.72053,6.99287,14.4566,15.0223
66,0.011276,6.35942,7.06093,15.4547,14.116
67,0.0125873,6.51139,6.72744,11.8732,11.9293
68,0.00948204,6.83552,6.62107,16.1338,14.9862
69,0.00794697,6.45011,6.39509,16.6671,16.9767
70,0.00770201,6.59293,5.97009,15.6731,15.3389
71,0.00594718,7.10608,5.77043,17.3781,14.1713
72,0.00829456,6.48511,7.13289,14.4007,16.8818
73,0.0069706,6.98005,6.37994,15.9138,16.3342
74,0.0106969,6.04399,7.02084,13.3505,13.3442
75,0.0216935,6.77995,6.68091,12.0256,12.2776
76,0.0176724,6.92598,7.66554,14.199,15.7055
77,0.0127003,6.35604,5.9924,11.8531,12.2683
78,0.00904132,6.2027,7.08669,12.2158,12.0239
79,0.0061069,6.52058,7.03752,14.5523,14.065
80,0.00766211,5.84037,5.67631,16.2757,15.3732
81,0.00682621,6.58068,5.99898,14.6628,15.2704
82,0.0101914,5.70921,6.05439,14.2134,12.9262
83,0.00553105,6.53872,6.00594,15.009,12.5305
84,0.0107345,6.55231,5.53223,12.258,12.7624
85,0.00913255,6.25839,7.61408,13.6053,13.6363
86,0.00881156,5.9874,6.07949,17.7678,17.0775
87,0.00896165,6.20853,6.23488,13.9612,13.464
88,0.00722583,6.56557,7.25172,20.4662,20.7466
89,0.00993396,6.3993,6.25129,19.0812,21.2745
90,0.0072874,6.22708,6.5466,15.8562,16.9455
91,0.0125459,5.56112,6.01763,21.1611,20.4553
92,0.0194812,6.36352,6.14946,15.5467,15.9129
93,0.01157,5.64275,6.55855,13.3518,13.6275
94,0.0072043,5.92104,6.10422,13.4294,13.2394
95,0.00571926,5.91491,5.7862,13.7555,13.4575
96,0.00661277,5.79703,6.19389,10.8822,12.326
97,0.00735269,5.8276,6.26472,15.6941,17.9801
98,0.00991135,5.57346,5.74876,19.026,19.1819
99,0.0104122,6.01658,5.77741,13.9957,16.3392
100,0.0105797,6.26983,6.44087,16.5392,14.8139
101,0.00931833,5.83589,5.79207,15.6612,15.5088
102,0.0066563,5.45034,5.95537,10.8081,12.4694
103,0.00752137,5.47459,6.12067,13.9263,12.4334
104,0.0108488,5.88407,5.32482,20.1674,21.8017
105,0.0123788,5.11469,5.84339,10.8708,10.1971
106,0.0103095,5.59454,5.26442,16.3445,14.9542
107,0.0109544,5.89696,5.66357,13.305,12.1415
108,0.00662833,5.38159,5.72293,13.0231,12.3829
109,0.0122201,6.39766,5.12089,16.8461,16.7726
110,0.00837043,6.3143,5.20692,17.8804,17.8698
111,0.00738262,5.02413,5.70298,11.3252,10.8149
112,0.00702439,5.29479,6.29579,16.6218,17.3984
113,0.00732613,5.26901,5.25672,10.8184,10.2042
114,0.0138523,5.65829,5.56181,13.4267,13.2678
115,0.011643,5.96298,6.66955,13.5811,12.4339
116,0.00838612,4.78027,5.78467,13.1454,12.632
117,0.00787811,5.78027,5.55683,13.1137,11.9642
118,0.00593509,5.20139,5.16055,18.256,16.1393
119,0.00671043,4.98174,4.74406,20.2056,20.5481
120,0.00554683,4.73838,5.21033,14.3192,14.8862
121,0.0424608,4.95519,4.92802,15.0676,16.132
122,0.0155469,5.25694,5.14959,15.1441,14.4378
123,0.0106437,4.71209,5.41068,12.393,15.0764
124,0.00978911,7.11797,4.68909,15.0063,16.0694
125,0.00799083,5.12893,5.19265,15.5741,15.7006
126,0.0122332,5.12443,5.576,12.7421,12.2976
127,0.0190877,4.82173,5.08282,22.0968,22.8061
128,0.0244822,4.82507,5.02861,13.0198,13.2669
129,0.0100214,4.92071,4.67594,11.6074,11.8267
130,0.0116682,5.46465,5.30434,15.253,17.3234
