batch:10  lambda:100.0
epoch,dis_loss,gan_mae,gan_entropy,vgan_mae,vgan_entropy
117,0.877528,6.54677,7.22925,11.7974,12.0052
118,0.810706,6.61048,6.96434,12.128,12.5441
119,0.683248,7.81432,7.89948,13.6651,11.6505
120,0.953429,7.50174,7.44926,12.9704,12.7634
121,0.646931,7.20237,8.0767,12.1778,12.6913
122,0.932048,7.63796,6.67673,10.8468,11.4153
123,0.960056,6.62698,6.73486,11.6489,10.9652
124,0.936277,6.79278,7.98779,11.6618,12.808
125,1.09001,7.22061,7.17751,11.4021,12.9548
126,0.802799,6.76926,6.97214,12.211,12.5235
127,0.979426,7.15846,6.35072,13.6015,12.5573
128,0.906663,7.04955,6.94528,11.5463,12.8465
129,0.968706,7.18135,7.52717,11.6094,12.1527
130,0.896117,6.64925,7.11353,13.5363,11.1561
131,0.910318,7.33457,7.65458,11.7502,12.1727
132,0.790391,7.39227,6.79743,12.2091,11.5637
133,0.74849,6.77542,6.65838,11.0566,12.9641
134,0.665957,7.11709,6.37846,11.5348,12.5505
135,0.949646,5.75113,6.02911,11.6982,13.2594
136,0.893818,7.12405,7.48612,11.8367,12.4566
137,0.903522,6.2081,7.3418,13.3998,12.7089
138,0.807261,6.43155,6.50542,14.055,12.2944
139,1.05176,6.45126,6.73382,12.8962,13.1132
140,1.03923,6.21114,6.91524,12.6279,11.8871
141,0.911514,6.98109,6.66186,12.8579,12.6854
142,1.0096,6.41838,6.44538,12.3629,11.2572
143,0.711012,6.82898,6.18959,12.908,12.6102
144,0.990152,6.9072,6.76488,11.8394,11.6886
145,0.69665,6.61927,7.69127,12.5998,12.8752
146,1.01507,6.54506,6.43032,11.0203,12.0322
147,0.855552,6.96501,6.50046,11.5739,12.0625
148,1.01109,7.37798,8.74762,11.1302,12.5266
149,1.05555,6.43044,6.78223,12.2279,12.1264
150,0.872963,6.97123,6.40038,11.9015,12.5351
151,0.909794,6.28056,5.8891,12.2361,11.9539
152,0.972082,6.27907,6.46938,12.2694,12.167
153,0.940963,6.46925,5.84328,12.2901,11.904
154,0.656802,6.09315,7.3003,11.0326,12.9702
155,1.02312,6.20671,5.55741,12.19,12.6634
156,0.702498,5.9861,6.68536,11.8341,11.0949
157,1.11814,5.83802,6.23214,12.798,10.8662
158,0.899824,5.56051,6.70815,13.3514,12.457
159,1.05962,6.561,6.57208,10.8287,11.0124
160,1.10364,5.82456,5.86597,12.1267,12.4569
161,0.959596,6.27349,5.8125,11.5331,12.767
162,0.861654,6.27845,5.45711,11.9714,13.386
163,0.99391,6.17886,5.92299,12.8583,12.607
164,0.711739,5.64433,6.11285,10.8337,10.4071
165,1.06432,6.12319,6.20474,11.718,12.7191
166,0.982776,6.36062,5.94298,13.2149,12.9321
167,1.01553,6.12071,6.80609,12.2032,10.9184
168,1.03086,6.28907,6.19671,12.7042,12.0498
169,0.984765,6.01264,6.93041,12.5527,13.257
170,0.980503,5.95803,6.85029,11.4508,12.084
171,1.10248,7.24176,6.23013,12.7109,11.3349
172,1.08688,5.9396,6.44571,11.9512,13.0735
173,0.78522,6.26473,6.60923,12.3367,11.7414
174,0.924861,5.22064,5.96609,11.7311,11.0377
175,1.22081,7.53712,6.18212,11.5408,11.52
176,0.943051,6.07918,6.02059,10.9979,11.9347
177,1.03051,5.66488,6.03992,12.9721,11.0475
178,1.04091,5.72681,5.40315,11.0329,12.4875
179,0.953713,5.88561,5.35107,11.4981,13.5977
180,0.865394,5.62805,5.73666,11.9356,11.9474
181,1.12121,4.74412,5.4444,10.3538,13.1988
182,0.868523,6.14644,6.61757,12.6446,12.7653
183,1.02782,5.57888,5.49567,12.8555,12.6774
184,1.18378,6.39002,5.54449,11.847,11.2998
185,1.0203,5.60184,5.89352,10.859,12.0316
186,0.997285,5.59943,5.6186,12.1307,11.4778
187,1.14565,6.61115,6.22041,12.6241,11.5918
188,1.0056,5.29087,5.54412,12.0958,11.5039
